code,volume
HK.00001,0
HK.00002,20278
HK.00003,645
HK.00004,0
HK.00005,0
HK.00006,180
HK.00007,0
HK.00008,0
HK.00010,0
HK.00012,0
HK.00013,0
HK.00014,0
HK.00016,0
HK.00017,0
HK.00018,0
HK.00019,0
HK.00020,0
HK.00021,0
HK.00022,0
HK.00023,0
HK.00025,0
HK.00026,0
HK.00027,90000
HK.00028,0
HK.00029,0
HK.00030,0
HK.00031,0
HK.00032,0
HK.00033,0
HK.00034,0
HK.00035,0
HK.00036,0
HK.00037,0
HK.00038,1143
HK.00039,0
HK.00040,0
HK.00041,0
HK.00042,0
HK.00045,0
HK.00046,0
HK.00048,0
HK.00050,0
HK.00051,0
HK.00052,0
HK.00053,0
HK.00055,0
HK.00057,0
HK.00058,0
HK.00059,0
HK.00060,0
HK.00061,0
HK.00062,0
HK.00063,0
HK.00064,0
HK.00065,0
HK.00066,0
HK.00068,0
HK.00069,0
HK.00070,0
HK.00071,0
HK.00072,0
HK.00073,0
HK.00075,0
HK.00076,0
HK.00077,0
HK.00078,0
HK.00079,0
HK.00080,0
HK.00081,0
HK.00082,0
HK.00083,0
HK.00084,0
HK.00085,0
HK.00086,0
HK.00087,0
HK.00088,0
HK.00089,0
HK.00090,0
HK.00092,0
HK.00093,0
HK.00094,0
HK.00095,0
HK.00096,0
HK.00097,0
HK.00098,0
HK.00099,0
HK.00100,0
HK.00101,0
HK.00103,0
HK.00104,0
HK.00105,0
HK.00106,0
HK.00107,0
HK.00108,0
HK.00110,0
HK.00111,0
HK.00113,0
HK.00114,0
HK.00115,0
HK.00116,0
HK.00117,0
HK.00118,0
HK.00119,0
HK.00120,0
HK.00122,0
HK.00123,0
HK.00124,0
HK.00125,0
HK.00126,0
HK.00127,0
HK.00128,0
HK.00129,0
HK.00130,0
HK.00131,0
HK.00132,0
HK.00133,0
HK.00135,0
HK.00136,0
HK.00137,0
HK.00138,0
HK.00139,0
HK.00142,640000
HK.00144,826
HK.00145,0
HK.00146,0
HK.00147,0
HK.00148,0
HK.00149,0
HK.00150,0
HK.00151,0
HK.00152,0
HK.00154,0
HK.00156,0
HK.00157,0
HK.00158,0
HK.00159,0
HK.00160,0
HK.00162,0
HK.00163,0
HK.00164,0
HK.00165,0
HK.00166,0
HK.00167,0
HK.00168,0
HK.00169,0
HK.00171,0
HK.00173,0
HK.00174,0
HK.00175,0
HK.00176,0
HK.00177,0
HK.00178,0
HK.00179,0
HK.00180,0
HK.00181,0
HK.00182,0
HK.00183,0
HK.00184,0
HK.00185,0
HK.00186,0
HK.00187,0
HK.00188,0
HK.00189,0
HK.00191,0
HK.00193,0
HK.00194,0
HK.00195,0
HK.00196,0
HK.00197,0
HK.00199,0
HK.00200,0
HK.00201,0
HK.00202,0
HK.00204,0
HK.00205,0
HK.00206,0
HK.00209,0
HK.00210,0
HK.00211,0
HK.00212,0
HK.00213,0
HK.00214,0
HK.00215,0
HK.00216,0
HK.00217,0
HK.00218,0
HK.00219,0
HK.00220,0
HK.00222,0
HK.00223,0
HK.00224,0
HK.00225,0
HK.00227,0
HK.00228,0
HK.00229,0
HK.00232,0
HK.00234,0
HK.00235,0
HK.00236,0
HK.00237,0
HK.00239,0
HK.00240,0
HK.00241,1626
HK.00242,0
HK.00243,0
HK.00244,0
HK.00245,0
HK.00247,0
HK.00248,0
HK.00251,0
HK.00252,0
HK.00253,0
HK.00254,0
HK.00255,0
HK.00256,0
HK.00257,0
HK.00258,0
HK.00259,0
HK.00261,0
HK.00262,0
HK.00264,0
HK.00265,0
HK.00266,0
HK.00267,0
HK.00268,0
HK.00269,0
HK.00270,1900
HK.00271,0
HK.00272,0
HK.00274,0
HK.00276,0
HK.00277,0
HK.00279,0
HK.00280,0
HK.00285,0
HK.00286,0
HK.00287,0
HK.00288,6920000
HK.00289,0
HK.00290,0
HK.00291,0
HK.00293,0
HK.00294,0
HK.00295,0
HK.00296,0
HK.00297,0
HK.00298,0
HK.00299,0
HK.00300,47
HK.00301,0
HK.00302,0
HK.00303,493600
HK.00305,0
HK.00306,0
HK.00308,0
HK.00309,0
HK.00310,0
HK.00311,0
HK.00312,0
HK.00313,0
HK.00314,0
HK.00315,0
HK.00316,0
HK.00317,0
HK.00318,0
HK.00320,0
HK.00321,0
HK.00322,2376000
HK.00323,0
HK.00325,0
HK.00326,0
