code,volume
JP.1301,31000
JP.1305,30490
JP.1306,12032100
JP.1308,97440
JP.1309,113
JP.130A,5300
JP.1311,12778
JP.1319,3000
JP.1320,13254
JP.1321,216455
JP.1322,419
JP.1325,9470
JP.1326,3903
JP.1328,18218
JP.1329,344488
JP.1330,40636
JP.1332,1278800
JP.1333,415000
JP.133A,99977
JP.1343,1591760
JP.1345,54255
JP.1346,10522
JP.1348,12443
JP.1349,23
JP.1356,1533800
JP.1357,9929650
JP.1358,6172
JP.135A,105000
JP.1360,74742640
JP.1364,8614
JP.1365,260830
JP.1366,769554
JP.1367,38167
JP.1368,91541
JP.1369,2426
JP.1375,61700
JP.1376,13200
JP.1377,67100
JP.1379,78400
JP.137A,1200
JP.1380,1200
JP.1381,2900
JP.1382,2000
JP.1383,1900
JP.1384,13600
JP.138A,2100
JP.1397,6359
JP.1398,267050
JP.1399,23943
JP.1401,10500
JP.1407,207600
JP.140A,52
JP.1414,842300
JP.1417,112400
JP.1418,80300
JP.1419,63900
JP.141A,363400
JP.1420,16800
JP.1429,110000
JP.142A,75000
JP.1430,27900
JP.1431,38300
JP.1433,19400
JP.1434,11900
JP.1435,374300
JP.1436,36300
JP.1438,800
JP.143A,1900
JP.1443,37400
JP.1444,2200
JP.1446,7600
JP.1447,104100
JP.1450,2700
JP.1456,32925
JP.1457,28804
JP.1458,99547
JP.1459,7658630
JP.145A,5900
JP.1466,1131
JP.1469,240
JP.146A,30700
JP.1472,1703
JP.1473,151470
JP.1474,231
JP.1475,1349710
JP.1476,158457
JP.1477,6414
JP.1478,34971
JP.1479,3
JP.147A,67300
JP.1480,0
JP.1481,54
JP.1482,89733
JP.1483,2
JP.1484,70
JP.1485,0
JP.1486,608
JP.1487,652
JP.1488,130969
JP.1489,572023
JP.148A,8700
JP.1490,1
JP.1491,30300
JP.1493,112
JP.1494,2331
JP.1495,413
JP.1496,7688
JP.1497,40831
JP.1498,2039
JP.1499,20
JP.149A,6400
JP.150A,113200
JP.1514,169100
JP.1515,340800
JP.1518,353300
JP.151A,9200
JP.153A,95100
JP.1540,222978
JP.1541,15472
JP.1542,40964
JP.1543,206
JP.1545,4981480
JP.1546,919
JP.1547,14497
JP.1550,692
JP.1551,460
JP.1554,1321
JP.1555,3850
JP.1557,1489
JP.1559,167
JP.155A,54400
JP.1560,177
JP.1563,7427
JP.1566,186
JP.1568,1955310
JP.1569,12530
